,主队身价,主队评价年龄,主队平均身高,客队身价,客队平均年龄,客队平均身高
209,860,26,183,2303,28,185
210,458,28,181,393,28,184
211,1504,28,180,2003,27,182
212,2631,27,184,920,26,181
213,831,28,181,646,30,183
214,524,30,183,4110,27,182
215,679,25,186,1910,27,180
216,757,27,182,1544,27,185
217,1622,26,184,1199,29,183
218,2944,28,177,860,26,184
219,2303,28,184,2601,28,183
220,1622,26,184,2003,26,182
221,524,30,183,860,26,185
222,831,27,181,920,28,182
223,679,26,184,1199,29,182
224,2631,27,186,1544,27,185
225,2303,29,183,393,28,182
226,1504,27,180,1910,27,180
227,2944,28,180,4110,27,180
228,458,26,182,2601,27,183
229,757,27,182,646,29,184
230,1910,28,180,2944,28,180
231,646,30,183,524,30,183
232,4110,26,180,2303,28,184
233,860,26,183,1622,26,184
234,920,28,182,1504,28,181
235,393,28,183,2631,27,184
236,2003,27,182,757,27,181
237,1544,28,183,679,26,184
238,1199,28,181,458,28,182
239,2601,27,184,831,27,181
240,1504,28,181,757,26,182
241,920,27,182,2601,27,183
242,524,29,181,393,27,183
243,2944,27,180,1544,27,183
244,679,25,185,458,29,181
245,1199,28,182,2303,27,183
246,1622,27,185,1910,27,180
247,2003,27,184,4110,28,180
248,2631,27,184,831,27,182
249,860,26,183,646,29,186
250,4110,29,181,1199,28,182
251,393,26,183,860,26,183
252,757,27,184,1622,27,184
253,831,27,182,1504,28,181
254,646,30,185,679,25,184
255,1910,27,181,2003,28,182
256,2303,29,183,524,29,181
257,2601,27,183,2631,26,184
258,458,28,181,2944,27,180
259,1544,27,184,920,27,183
260,524,29,182,2003,28,184
261,458,26,180,920,27,182
262,1622,27,183,1504,28,181
263,860,27,182,1910,26,182
264,393,26,183,831,28,183
265,2944,27,180,679,26,183
266,4110,27,181,2631,26,184
267,2303,29,183,646,30,185
268,2601,26,184,1544,27,183
269,1199,28,182,757,27,182
270,831,28,182,1622,26,183
271,757,26,182,2601,27,182
272,646,30,184,393,26,183
273,1544,26,183,524,29,183
274,679,26,185,4110,26,183
275,920,27,182,860,28,183
276,1910,28,182,458,28,181
277,2003,27,182,2303,29,184
278,2631,25,184,1199,28,183
279,1504,28,182,2944,27,180
0,4110,27,181,1504,27,181
1,524,29,182,1910,27,180
2,458,28,180,1622,27,184
3,646,31,184,2631,27,184
4,393,26,183,1544,26,182
5,2944,27,180,2601,27,181
6,679,26,184,757,26,182
7,860,27,182,831,28,181
8,1199,28,182,2003,28,184
9,2303,29,182,920,27,182
10,2601,28,182,393,27,184
11,757,27,181,458,29,180
