,主队身价,主队评价年龄,主队平均身高,客队身价,客队平均年龄,客队平均身高
41,524,30,183,646,32,185
42,2601,27,180,1199,30,182
43,2944,29,181,860,28,183
44,2303,29,186,471,26,180
45,920,27,180,305,31,185
46,338,27,182,2003,29,184
47,1504,28,182,458,29,183
48,1910,28,180,1544,27,184
49,2631,27,181,1622,27,183
50,646,31,185,471,26,183
51,524,31,182,4110,29,179
52,1910,29,180,305,30,184
53,1504,28,183,1199,30,183
54,2631,27,183,2303,29,185
55,2601,27,180,1622,28,183
56,920,28,180,338,27,182
57,2944,30,179,1544,27,184
58,458,29,183,831,29,183
59,2003,29,182,860,28,182
60,1544,28,183,2601,27,180
61,471,26,182,2944,29,182
62,2303,29,185,524,30,184
63,305,30,185,646,32,185
64,4110,29,179,2631,27,184
65,1622,27,183,1910,28,180
66,831,28,182,920,28,180
67,338,28,182,458,29,183
68,860,28,181,1504,28,183
69,1199,30,182,2003,27,181
0,2944,29,179,305,30,184
1,524,30,184,831,29,183
2,2601,28,181,471,26,182
3,1910,28,180,338,28,182
4,458,29,183,1622,28,184
5,920,28,180,1199,30,184
6,2631,27,184,1544,27,182
7,1504,28,183,2303,29,185
8,2003,27,182,4110,28,180
9,646,31,186,860,28,182
10,1544,27,183,2003,26,181
11,1622,27,184,920,29,181
12,471,26,182,524,30,183
13,860,29,181,458,29,184
14,831,29,185,646,31,185
15,338,28,182,1504,28,183
16,4110,29,179,1910,28,180
17,305,30,184,2631,27,184
18,2303,29,185,2601,28,183
19,1199,29,183,2944,28,182
20,2303,28,184,860,28,184
21,1622,27,183,338,28,182
22,471,27,180,2003,28,181
23,2601,28,182,920,27,180
24,646,31,184,1199,30,184
25,1544,28,181,524,30,182
26,458,29,183,305,30,185
27,2631,26,184,831,28,182
28,1910,28,179,2944,28,180
29,1504,28,183,4110,30,180
30,860,28,182,471,27,184
31,831,29,184,1544,27,183
32,920,28,179,646,30,184
33,305,30,184,1622,28,183
34,338,29,183,2303,27,183
35,1199,28,183,1910,30,181
36,524,30,183,2631,28,182
37,2003,27,181,2601,27,182
38,2944,29,180,1504,27,179
39,4110,29,179,458,28,183
40,860,28,182,2601,27,180
41,524,30,182,1622,27,183
42,831,29,184,1910,28,181
43,920,28,181,2303,28,183
44,305,30,185,1504,29,183
45,4110,28,181,1544,28,182
46,338,29,183,646,30,184
47,1199,30,184,471,26,182
48,2003,29,182,2631,27,184
49,2944,29,181,458,29,183
50,458,29,183,1199,30,182
51,646,31,185,2003,29,182
52,2601,27,183,524,30,181
53,1544,27,181,860,28,182
54,1910,28,179,920,29,181
55,2631,27,182,338,28,184
56,1504,28,182,831,28,181
57,2303,28,182,2944,28,181
58,471,27,180,305,30,186
59,1622,28,183,4110,29,181
60,305,30,186,2303,28,183
61,2003,27,181,458,28,183
62,860,27,180,1622,28,183
63,4110,30,179,646,31,185
64,338,28,182,471,27,181
65,920,29,181,1504,28,182
66,1199,29,183,1544,27,180
67,831,28,183,2601,27,181
68,524,30,183,1910,29,179
69,2944,28,181,2631,27,183
70,1622,28,183,305,31,185
71,471,26,181,860,28,181
72,1544,28,181,831,28,181
73,458,29,183,4110,29,181
74,646,31,185,920,29,181
75,2601,28,181,2003,27,181
76,1910,28,178,1199,30,183
77,2303,28,181,338,29,183
78,2631,27,181,524,30,183
79,1504,28,182,2944,28,181
80,1910,28,179,2601,28,180
81,471,27,180,1622,27,183
82,646,32,185,458,29,184
83,2944,28,182,920,28,181
84,831,28,182,338,29,183
85,305,31,185,1544,28,182
86,1199,30,186,860,30,181
87,2631,27,182,1504,29,183
88,524,30,183,2003,28,183
89,2303,27,182,4110,30,180
90,1544,29,182,646,32,185
91,860,30,185,305,31,185
92,458,29,184,471,28,180
93,1504,28,184,1910,28,179
94,920,29,182,524,30,183
95,338,29,183,2944,28,181
96,1622,28,183,2303,28,182
97,2003,28,183,831,28,182
98,2601,30,179,2631,27,183
99,4110,29,181,1199,30,185
100,2601,29,184,2303,28,182
101,524,30,182,471,28,182
102,646,32,185,831,28,183
103,458,29,184,860,29,185
104,920,28,181,1622,27,183
105,1910,29,181,4110,30,182
106,2631,27,184,305,30,186
107,1504,29,184,338,28,182
108,2003,28,183,1544,28,183
109,2944,28,181,1199,29,184
110,338,27,181,1910,27,180
111,860,28,183,646,32,185
112,471,27,180,2601,29,182
113,831,29,181,524,30,182
114,1199,28,183,920,27,180
115,305,30,185,2944,29,182
116,1544,28,183,2631,27,185
117,2303,26,182,1504,28,182
118,1622,26,184,458,28,181
119,4110,27,179,2003,26,184
120,2944,29,181,471,27,181
121,2003,28,184,1199,28,183
122,646,32,185,305,30,186
123,458,29,183,338,27,181
124,920,28,181,831,29,180
125,1504,28,183,860,28,183
126,524,30,183,2303,27,184
127,2601,29,182,1544,27,182
128,2631,27,183,4110,28,179
129,1910,27,180,1622,29,183
130,338,27,182,920,27,182
131,2303,28,184,2631,27,186
132,305,30,184,1910,27,181
133,860,26,185,2003,26,184
134,1199,29,182,1504,27,183
135,471,26,183,646,30,186
136,831,28,181,458,28,181
137,1622,26,184,2601,27,181
138,1544,27,183,2944,27,181
139,4110,27,179,524,28,184
140,1910,27,181,860,26,185
141,2303,28,184,1199,29,182
142,2631,27,186,458,28,181
143,831,28,181,1622,26,184
144,338,27,182,1544,27,183
145,1504,27,183,471,26,183
146,2944,27,181,646,30,186
147,524,28,184,305,30,184
148,920,27,182,2003,26,184
149,2601,27,181,4110,27,179
150,1622,26,184,1504,27,183
151,305,30,184,920,27,182
152,646,30,186,524,28,184
153,860,26,185,2631,27,186
154,471,26,183,831,28,181
155,2003,26,184,338,27,182
156,1544,27,183,1910,27,181
157,1199,29,182,2601,27,181
158,458,28,181,2303,28,184
159,4110,27,179,2944,27,181
0,338,27,182,860,26,185
1,1910,27,181,646,30,186
2,2631,27,186,471,26,183
3,1504,27,183,2003,26,184
4,2601,27,181,305,30,184
5,524,28,184,458,28,181
6,831,28,181,1199,29,182
7,2944,27,181,1622,26,184
8,920,27,182,4110,27,179
9,2303,28,184,1544,27,183
0,646,30,186,2601,27,181
1,305,30,184,338,27,182
2,2003,26,184,1910,27,181
3,4110,27,179,831,28,181
4,458,28,181,1504,27,183
5,1199,29,182,524,28,184
6,860,26,185,2944,27,181
7,471,26,183,2303,28,184
8,1544,27,183,920,27,182
9,1622,26,184,2631,27,186
10,338,27,182,1199,29,182
11,305,30,184,831,28,181
12,2944,27,181,524,28,184
13,458,28,181,2601,27,181
14,860,26,185,4110,27,179
15,1504,27,183,1544,27,183
16,1622,26,184,646,30,186
17,2303,28,184,2003,26,184
18,471,26,183,1910,27,181
19,2631,27,186,920,27,182
20,2601,27,181,338,27,182
21,524,28,184,1504,27,183
22,4110,27,179,471,26,183
23,831,28,181,2303,28,184
24,2003,26,184,2944,27,181
25,1544,27,183,1622,26,184
26,1910,27,181,458,28,181
27,646,30,186,2631,27,186
28,920,27,182,860,26,185
29,1199,29,182,305,30,184
30,338,27,182,524,28,184
31,471,26,183,920,27,182
32,2303,28,184,1910,27,181
33,860,26,185,831,28,181
34,458,28,181,1544,27,183
35,1504,27,183,646,30,186
36,305,30,184,4110,27,179
37,1622,26,184,2003,26,184
38,2631,27,186,1199,29,182
39,2944,27,181,2601,27,181
40,920,27,182,458,28,181
41,831,28,181,2944,27,181
42,4110,27,179,338,27,182
43,1910,27,181,2631,27,186
44,1544,27,183,471,26,183
45,646,30,186,2303,28,184
46,524,28,184,860,26,185
47,2601,27,181,1504,27,183
48,2003,26,184,305,30,184
49,1199,29,182,1622,26,184
