,主队身价,主队评价年龄,主队平均身高,客队身价,客队平均年龄,客队平均身高
0,2944,28,183,338,27,182
1,1199,29,182,4110,28,181
2,471,27,182,458,29,183
3,524,30,184,920,27,183
4,646,31,184,1544,28,183
5,305,31,184,860,30,185
6,2303,29,181,1622,29,184
7,1910,28,180,1504,29,184
8,831,28,183,2003,28,182
9,2631,27,185,2601,28,182
10,2003,28,182,524,30,184
11,1622,28,184,471,28,180
12,860,30,183,1199,29,182
13,1544,28,183,305,31,184
14,338,27,181,831,29,184
15,920,27,184,2944,30,181
16,4110,29,180,2303,29,182
17,458,29,183,646,31,184
18,2601,28,180,1910,29,181
19,1504,29,184,2631,27,186
20,1622,28,183,1544,28,183
21,338,27,181,2601,27,183
22,860,29,183,920,26,184
23,2631,27,186,646,32,185
24,458,29,184,1910,29,180
25,305,31,183,1199,29,185
26,2944,29,182,2003,28,183
27,471,28,182,4110,30,179
28,2303,29,181,831,28,182
29,1504,28,183,524,30,184
30,920,27,183,2631,28,184
31,2601,26,182,458,28,184
32,646,32,185,1622,28,183
33,1910,28,179,471,27,181
34,4110,29,180,860,28,183
35,831,28,182,305,31,184
36,1199,29,185,338,27,182
37,524,31,182,2944,29,182
38,1544,28,183,1504,28,185
39,2003,28,183,2303,30,183
40,2944,29,182,831,28,182
41,860,30,185,524,31,182
42,2631,28,184,1910,28,180
43,458,29,183,920,27,183
44,2303,30,182,646,31,185
45,1504,28,182,2601,28,184
46,338,28,182,4110,29,179
47,471,26,182,1544,28,183
48,305,31,183,2003,29,184
49,1622,28,184,1199,29,185
50,920,27,182,471,26,183
51,1910,28,180,2303,29,183
52,524,30,184,338,28,182
53,1544,28,181,458,28,183
54,4110,30,180,305,31,183
55,831,28,182,860,29,182
56,646,32,184,1504,29,184
57,1199,29,185,2631,28,184
58,2003,27,184,1622,28,184
59,2601,27,180,2944,29,182
60,458,28,183,2944,29,182
61,1622,28,184,524,30,184
62,471,26,183,1199,29,185
63,2601,28,183,860,28,181
64,646,32,185,338,27,181
65,2303,30,182,920,28,183
66,1504,29,183,305,31,185
67,1544,29,183,4110,29,180
68,1910,28,180,831,28,182
69,2631,27,184,2003,28,183
70,860,28,181,2303,30,184
71,524,30,184,1544,28,183
72,2944,30,181,1910,28,179
73,338,27,181,1622,28,184
74,305,32,185,458,28,183
75,1199,29,184,646,32,184
76,2003,28,184,471,26,183
77,4110,31,180,1504,28,183
78,920,28,182,2601,27,182
79,831,27,180,2631,27,181
80,1544,27,182,1199,28,184
81,1622,28,184,860,28,182
82,471,26,181,338,27,180
83,2601,27,184,831,27,180
84,1910,28,180,524,30,183
85,2303,29,184,305,32,185
86,1504,28,184,920,28,184
87,646,32,185,4110,29,180
88,2631,28,183,2944,29,183
89,458,29,183,2003,27,184
0,920,28,184,1910,28,180
1,4110,29,179,1622,27,183
2,860,28,182,1544,27,181
3,305,30,185,471,27,181
4,1199,30,185,458,29,183
5,524,30,183,2601,27,182
6,831,27,181,1504,28,183
7,2003,28,183,646,32,186
8,2944,29,182,2303,29,183
9,338,27,180,2631,27,183
10,471,27,180,2631,27,183
11,2003,28,181,1504,28,183
12,1622,27,184,2944,29,180
13,860,28,182,338,28,181
14,4110,30,178,920,28,184
15,458,29,183,524,30,183
16,1199,30,185,831,28,182
17,305,30,185,2601,27,181
18,646,32,185,1910,28,180
19,1544,27,182,2303,28,183
20,338,28,181,305,31,186
21,2601,26,180,646,32,185
22,524,30,183,1199,29,184
23,831,28,182,471,27,180
24,920,28,182,1544,28,183
25,2303,27,185,458,29,183
26,1910,28,180,2003,28,182
27,2631,26,184,860,28,182
28,1504,28,183,1622,26,183
29,2944,29,182,4110,30,179
30,1199,30,185,2303,28,184
31,2003,29,182,920,28,180
32,471,27,180,1504,28,183
33,860,29,181,1910,28,180
34,646,32,185,2944,29,182
35,1544,28,183,338,28,182
36,305,32,184,524,30,183
37,4110,30,181,2601,28,180
38,458,30,183,2631,27,183
39,1622,27,183,831,28,182
40,831,28,182,4110,30,180
