,主队身价,主队评价年龄,主队平均身高,客队身价,客队平均年龄,客队平均身高
0,2631,29,181,1910,28,182
1,831,30,183,2303,29,184
2,471,30,180,158,31,183
3,679,29,182,646,30,184
4,131,30,183,2601,31,182
5,309,32,185,860,30,183
6,1504,29,183,1544,31,181
7,2944,28,180,1199,30,184
8,920,29,184,524,32,183
9,2003,29,182,4110,29,180
10,158,30,184,831,30,183
11,1544,30,182,920,29,181
12,1910,29,180,1504,29,183
13,2303,29,184,679,28,181
14,1199,32,182,471,30,180
15,2601,31,182,2003,30,182
16,4110,30,181,131,28,186
17,524,32,183,309,32,185
18,860,31,182,2631,29,182
19,646,30,184,2944,28,180
20,1504,29,183,4110,30,179
21,2003,29,182,1199,31,184
22,471,30,180,1544,29,182
23,131,29,185,158,30,184
24,920,29,183,1910,28,181
25,2944,28,180,860,31,182
26,309,32,185,646,31,185
27,831,31,183,2601,30,181
28,679,29,183,524,32,183
29,2631,30,185,2303,30,183
30,1910,29,180,2944,29,181
31,860,31,182,679,29,184
32,2601,30,182,471,29,181
33,646,30,185,920,29,183
34,1544,28,182,131,29,186
35,1199,31,183,1504,29,183
36,4110,30,180,831,30,184
37,158,31,182,2003,30,182
38,309,32,185,2303,30,183
39,524,31,182,2631,30,187
40,2303,30,181,2944,28,180
41,471,29,180,1910,29,180
42,2601,31,181,158,31,182
43,131,29,185,646,31,185
44,4110,30,179,679,29,183
45,831,30,183,2003,30,182
46,309,32,185,2631,31,186
47,1504,29,183,524,32,183
48,1544,28,182,1199,30,186
49,920,29,183,860,30,182
50,679,27,184,309,32,185
51,524,31,181,471,29,180
52,158,30,181,4110,30,179
53,646,31,185,831,30,183
54,1910,29,182,131,30,185
55,2944,29,180,920,29,184
56,2631,30,185,1504,29,183
57,860,30,182,2303,30,183
58,1199,29,185,2601,31,182
59,2003,30,180,1544,27,182
60,1199,30,186,2631,30,189
61,2003,30,180,309,31,186
62,1544,27,182,679,28,181
63,131,30,184,2303,30,184
64,4110,30,179,860,29,184
65,831,30,181,1910,29,181
66,1504,29,183,920,29,184
67,2601,31,182,2944,29,181
68,158,30,184,524,31,181
69,471,28,179,646,30,183
70,860,31,184,1199,30,186
71,524,32,182,131,30,183
72,646,30,184,1504,29,183
73,1910,29,181,1544,28,180
74,2303,29,183,158,30,183
75,309,32,184,471,28,179
76,2631,29,187,831,29,181
77,679,29,182,2003,29,181
78,920,29,183,2601,31,183
79,2944,30,182,4110,30,180
80,2601,30,182,2631,29,185
81,471,28,179,920,29,182
82,158,30,183,679,30,183
83,4110,30,181,524,31,182
84,831,30,182,860,31,182
85,1199,30,185,2303,29,183
86,1504,29,183,309,30,184
87,131,30,183,2944,30,181
88,1544,29,181,646,31,184
89,2003,28,181,1910,29,181
90,860,31,182,1504,29,183
91,679,29,184,471,29,179
92,2944,29,180,158,30,182
93,920,29,182,831,30,182
94,309,30,184,131,30,184
95,1910,28,183,1199,29,183
96,524,31,183,2601,31,182
97,646,31,185,2003,28,182
98,2631,29,183,1544,29,181
99,2303,30,184,4110,30,180
100,471,28,180,2631,30,182
101,158,30,183,1910,29,180
102,1544,29,181,860,31,182
103,831,30,183,309,31,184
104,1199,29,184,524,31,181
105,2003,29,181,2944,29,181
106,1504,29,183,2303,30,182
107,4110,29,180,920,29,181
108,2601,31,182,646,30,184
109,131,29,183,679,28,183
110,158,30,184,860,31,180
111,131,29,183,1199,29,184
112,1910,30,180,524,32,183
113,831,30,183,471,28,179
