,主队身价,主队评价年龄,主队平均身高,客队身价,客队平均年龄,客队平均身高
114,920,29,182,309,30,184
115,646,30,184,2303,29,183
116,2944,28,180,679,28,185
117,2601,30,182,1544,29,181
118,2003,28,182,1504,29,183
119,4110,30,180,2631,30,185
120,860,30,183,1910,31,179
121,1544,29,181,158,30,184
122,679,28,184,920,29,184
123,2631,30,185,646,30,184
124,309,31,184,2944,29,180
125,1199,28,185,4110,31,179
126,2303,29,184,2601,30,182
127,471,29,180,2003,29,182
128,1504,29,182,131,29,184
129,524,31,182,831,31,183
130,158,30,183,1504,29,182
131,646,30,184,524,31,183
132,131,29,184,860,28,184
133,1910,30,179,309,31,184
134,4110,28,180,471,30,181
135,831,30,183,1199,31,183
136,920,28,183,2631,30,187
137,2601,31,181,679,28,183
138,2003,29,182,2303,29,184
139,2944,28,180,1544,29,181
140,471,29,179,131,30,184
141,860,29,183,646,30,184
142,1199,30,184,158,31,184
143,309,31,185,4110,30,179
144,524,31,183,2944,29,182
145,679,28,182,1910,29,179
146,1504,29,183,2601,29,183
147,1544,28,183,831,30,183
148,2631,29,185,2003,28,183
149,2303,29,181,920,29,181
150,471,30,180,2944,30,181
151,2003,28,182,131,31,183
152,524,31,183,860,29,184
153,158,30,183,920,28,186
154,2631,30,183,679,28,183
155,1199,30,183,646,30,184
156,2601,31,180,4110,30,180
157,1910,29,181,2303,30,183
158,831,31,182,1504,28,183
159,1544,29,181,309,30,184
160,4110,29,180,1544,28,184
161,646,30,183,1910,30,180
162,131,29,184,831,30,183
163,2303,29,182,524,32,181
164,309,30,183,158,31,183
165,1504,28,183,471,30,182
166,679,29,182,1199,30,183
167,860,30,182,2601,31,180
168,920,28,185,2003,29,182
169,2944,29,181,2631,29,184
170,1504,29,184,2944,30,182
171,2003,29,183,524,31,184
172,471,30,182,860,29,185
173,2601,31,180,1910,29,179
174,131,28,185,920,28,185
175,4110,28,180,646,30,182
176,831,30,182,679,29,183
177,1199,30,183,309,31,184
178,158,30,183,2631,29,184
179,1544,28,183,2303,29,184
180,679,29,183,1504,29,183
181,524,31,183,1544,29,184
182,646,30,183,158,31,182
183,1910,29,179,4110,29,180
184,2944,29,180,831,30,183
185,2631,28,183,131,29,186
186,2303,29,180,471,30,180
187,860,30,184,2003,30,183
188,309,31,184,2601,31,180
189,920,28,185,1199,30,183
190,860,29,185,1544,29,182
191,679,29,182,131,29,184
192,1910,28,180,158,30,183
193,2303,29,184,1504,28,185
194,309,30,185,831,30,181
195,2944,29,180,2003,29,182
196,646,31,184,2601,31,183
197,524,31,183,1199,31,184
198,920,28,184,4110,30,179
199,2631,29,184,471,30,181
200,1544,28,183,1910,29,180
201,2003,29,183,679,29,184
202,158,30,183,2303,29,183
203,471,29,180,309,32,183
204,2601,30,183,920,28,183
205,131,29,185,524,31,183
206,1199,30,186,860,30,185
207,1504,30,184,646,31,184
208,831,30,181,2631,29,184
209,4110,30,180,2944,30,181
210,1199,30,184,2003,29,183
211,860,31,184,2944,29,180
212,524,31,183,679,29,182
213,158,31,183,131,30,183
214,646,31,184,309,32,184
215,1910,29,179,920,28,184
216,2601,31,180,831,29,181
217,1544,28,181,471,29,180
218,2303,30,184,2631,29,184
219,4110,29,180,1504,29,184
220,1504,28,182,1910,29,180
221,471,29,179,1199,30,184
222,2944,29,182,646,30,183
223,2631,29,184,860,31,184
224,831,29,181,158,31,183
225,920,27,184,1544,28,181
226,309,32,182,524,31,183
227,2003,29,182,2601,31,180
228,131,29,182,4110,30,181
229,679,30,183,2303,30,183
230,2003,29,181,158,31,182
231,679,30,183,860,31,184
232,131,29,183,1544,28,183
233,1504,29,183,1199,30,185
234,2631,29,184,524,31,183
235,831,29,181,4110,30,181
236,471,30,179,2601,30,179
237,920,27,184,646,31,184
238,2944,29,180,1910,29,180
239,2303,31,183,309,32,184
240,2303,30,182,831,29,181
241,860,30,185,309,32,184
242,524,31,183,920,28,183
243,2601,30,182,131,28,184
244,646,31,184,679,30,183
245,1544,28,184,1504,29,184
246,158,31,182,471,30,181
247,1910,28,180,2631,30,183
248,4110,31,179,2003,29,182
249,1199,31,183,2944,30,181
250,679,30,181,2631,29,186
251,646,30,184,1199,31,183
252,131,30,182,2003,29,180
253,2944,29,181,471,30,180
254,920,28,184,158,31,182
255,309,32,184,1544,28,183
256,860,31,184,524,31,183
257,2303,30,182,1910,27,181
258,4110,29,180,2601,31,182
259,1504,29,184,831,29,181
260,1544,27,181,4110,30,181
261,158,30,184,309,31,185
262,1199,31,182,679,29,183
263,524,31,183,2303,30,182
264,471,29,181,1504,29,184
265,831,29,182,131,31,182
266,1910,29,182,646,31,184
267,2003,29,181,920,27,185
268,2631,29,185,2944,30,182
269,2601,29,182,860,29,184
270,158,31,184,1544,30,181
271,131,28,185,1504,29,184
272,1910,28,181,860,31,182
273,831,29,183,524,31,184
274,2003,30,182,471,29,180
275,920,28,185,679,30,185
276,646,31,184,2631,29,184
277,2601,32,180,2303,29,183
278,2944,29,182,309,31,185
279,4110,30,180,1199,29,186
280,2303,31,183,2003,30,182
281,471,30,179,4110,30,178
282,860,30,182,131,28,185
283,524,31,183,646,30,184
284,2631,29,185,920,28,185
285,1504,28,184,158,31,184
286,1199,30,182,831,29,183
287,309,32,185,1910,29,181
288,679,30,185,2601,29,181
289,1544,29,181,2944,28,183
290,646,30,183,860,30,182
291,158,31,182,1199,30,182
292,131,28,185,471,30,180
293,1910,28,181,679,30,185
294,831,30,183,1544,28,182
295,920,28,185,2303,29,183
296,4110,30,177,309,31,184
297,2944,29,181,524,31,183
298,2601,30,179,1504,29,184
299,2003,31,182,2631,29,185
300,471,29,179,831,30,182
301,524,31,183,1910,28,181
302,1199,30,182,131,27,182
303,679,29,183,2944,29,181
304,1544,28,182,2601,31,182
305,2303,30,183,646,30,184
306,860,30,184,158,31,183
307,309,30,185,920,29,183
308,1504,29,184,2003,30,180
309,2631,29,183,4110,30,178
310,679,28,184,4110,30,179
311,860,30,182,920,28,183
312,524,31,183,1504,28,182
313,646,30,183,131,29,181
314,1910,29,180,471,29,180
315,2631,30,184,309,30,185
316,1199,30,184,1544,28,182
317,158,31,182,2601,31,183
318,2944,29,181,2303,30,183
319,2003,26,184,831,28,181
0,1504,28,183,2631,28,185
1,309,32,184,679,29,184
2,4110,28,181,158,30,182
3,920,28,184,2944,28,181
4,471,28,180,524,30,183
5,831,30,183,646,30,184
6,131,29,182,1910,28,180
7,1544,29,181,2003,29,182
8,2601,29,182,1199,31,182
9,2303,31,183,860,29,183
10,1910,28,180,831,29,183
11,2303,30,183,131,29,183
12,920,27,183,1504,29,184
13,679,28,185,1544,29,181
14,524,30,183,158,30,182
15,860,29,183,471,29,181
16,2631,29,183,1199,31,181
17,646,31,184,4110,29,180
18,2944,28,182,2601,29,181
19,309,31,185,2003,30,182
20,4110,28,179,2303,28,184
21,1199,31,184,1910,29,181
22,1504,28,183,860,31,183
23,131,29,183,309,30,184
24,471,29,181,679,29,182
25,831,29,183,920,28,182
26,1544,29,181,2631,28,186
27,158,31,183,2944,29,181
28,2003,29,184,646,31,185
29,2601,29,182,524,30,183
30,2944,29,180,131,28,185
31,2303,28,182,1199,30,185
32,920,28,182,471,29,182
33,309,31,183,1504,29,184
34,679,29,183,158,31,183
35,646,31,184,1544,29,181
36,860,30,182,831,30,182
37,1910,28,180,2003,29,181
38,524,30,183,4110,29,178
39,2631,30,185,2601,31,181
40,1544,29,181,524,31,182
41,471,27,179,2303,30,182
42,1199,29,184,920,28,184
43,1504,29,184,679,29,184
44,158,30,181,646,31,185
45,831,30,182,2944,29,182
46,131,29,181,2631,30,183
47,2601,30,180,309,31,184
48,2003,31,181,860,29,184
49,4110,29,177,1910,28,180
50,2303,30,183,1544,29,182
51,920,28,182,131,28,183
52,2631,27,184,158,30,183
53,2944,28,183,1504,29,184
54,1910,28,180,2601,32,183
55,679,28,184,831,30,182
56,646,30,183,471,27,179
57,524,30,183,2003,28,183
58,860,30,183,4110,29,178
59,309,31,184,1199,29,184
