,日期,轮次,主队,比分,客队,主队指数,平指数,客队指数,分析,empty,year
9,02-01 04:00,25,热刺,2-0, 曼联,2.41,3.28,3.08,欧/析,,17-18
0,02-03 20:30,26,伯恩利,1-1, 曼城,11.81,5.79,1.26,欧/析,,17-18
1,02-03 23:00,26,曼联,2-0, 哈德斯,1.16,7.47,18.43,欧/析,,17-18
2,02-03 23:00,26,莱切城,1-1, 斯旺西,1.65,3.62,6.06,欧/析,,17-18
3,02-03 23:00,26,西布朗,2-3, 南安普敦,2.80,3.18,2.68,欧/析,,17-18
4,02-03 23:00,26,布莱顿,3-1, 西汉姆,2.86,3.06,2.70,欧/析,,17-18
5,02-03 23:00,26,伯恩茅斯,2-1, 斯托克城,2.43,3.23,2.93,欧/析,,17-18
6,02-04 01:30,26,阿森纳,5-1, 埃弗顿,1.39,4.81,8.12,欧/析,,17-18
7,02-04 22:15,26,水晶宫,1-1, 纽卡斯尔,1.93,3.29,4.49,欧/析,,17-18
8,02-05 00:30,26,利物浦,2-2, 热刺,2.06,3.43,3.75,欧/析,,17-18
9,02-06 04:00,26,沃特福德,4-1, 切尔西,6.22,4.12,1.55,欧/析,,17-18
0,02-10 20:30,27,热刺,1-0, 阿森纳,1.91,3.49,4.20,欧/析,,17-18
1,02-10 23:00,27,斯托克城,1-1, 布莱顿,2.02,3.18,4.15,欧/析,,17-18
2,02-10 23:00,27,西汉姆,2-0, 沃特福德,2.18,3.24,3.53,欧/析,,17-18
3,02-10 23:00,27,埃弗顿,3-1, 水晶宫,2.27,3.20,3.39,欧/析,,17-18
4,02-10 23:00,27,斯旺西,1-0, 伯恩利,2.47,3.06,3.14,欧/析,,17-18
5,02-11 01:30,27,曼城,5-1, 莱切城,1.17,7.41,17.78,欧/析,,17-18
6,02-11 20:00,27,哈德斯,4-1, 伯恩茅斯,2.58,3.08,2.98,欧/析,,17-18
7,02-11 22:15,27,纽卡斯尔,1-0, 曼联,7.79,4.28,1.46,欧/析,,17-18
8,02-12 00:30,27,南安普敦,0-2, 利物浦,5.14,3.97,1.66,欧/析,,17-18
9,02-13 04:00,27,切尔西,3-0, 西布朗,1.21,6.22,16.69,欧/析,,17-18
0,02-24 20:30,28,莱切城,1-1, 斯托克城,1.70,3.71,5.26,欧/析,,17-18
1,02-24 23:00,28,伯恩利,1-1, 南安普敦,2.49,3.15,3.03,欧/析,,17-18
2,02-24 23:00,28,利物浦,4-1, 西汉姆,1.25,6.37,11.04,欧/析,,17-18
3,02-24 23:00,28,布莱顿,4-1, 斯旺西,2.25,3.10,3.57,欧/析,,17-18
4,02-24 23:00,28,西布朗,1-2, 哈德斯,1.88,3.41,4.48,欧/析,,17-18
5,02-24 23:00,28,伯恩茅斯,2-2, 纽卡斯尔,2.11,3.33,3.64,欧/析,,17-18
6,02-25 01:30,28,沃特福德,1-0, 埃弗顿,2.39,3.29,3.10,欧/析,,17-18
7,02-25 20:00,28,水晶宫,0-1, 热刺,5.18,3.71,1.71,欧/析,,17-18
8,02-25 22:05,28,曼联,2-1, 切尔西,2.08,3.29,3.81,欧/析,,17-18
9,03-02 03:45,28,阿森纳,0-3, 曼城,3.60,3.50,2.06,欧/析,,17-18
0,03-03 20:30,29,伯恩利,2-1, 埃弗顿,2.33,3.15,3.33,欧/析,,17-18
1,03-03 23:00,29,南安普敦,0-0, 斯托克城,1.71,3.59,5.40,欧/析,,17-18
2,03-03 23:00,29,莱切城,1-1, 伯恩茅斯,1.86,3.51,4.42,欧/析,,17-18
3,03-03 23:00,29,斯旺西,4-1, 西汉姆,2.31,3.14,3.37,欧/析,,17-18
4,03-03 23:00,29,热刺,2-0, 哈德斯,1.18,7.11,17.06,欧/析,,17-18
5,03-03 23:00,29,沃特福德,1-0, 西布朗,2.13,3.20,3.77,欧/析,,17-18
6,03-04 01:30,29,利物浦,2-0, 纽卡斯尔,1.22,6.39,13.67,欧/析,,17-18
7,03-04 21:30,29,布莱顿,2-1, 阿森纳,7.09,4.08,1.51,欧/析,,17-18
8,03-05 00:00,29,曼城,1-0, 切尔西,1.63,4.06,5.23,欧/析,,17-18
9,03-06 04:00,29,水晶宫,2-3, 曼联,6.56,4.07,1.55,欧/析,,17-18
0,03-10 20:30,30,曼联,2-1, 利物浦,2.09,3.29,3.77,欧/析,,17-18
1,03-10 23:00,30,埃弗顿,2-0, 布莱顿,1.86,3.45,4.59,欧/析,,17-18
2,03-10 23:00,30,西汉姆,0-3, 伯恩利,2.35,3.16,3.27,欧/析,,17-18
3,03-10 23:00,30,纽卡斯尔,3-0, 南安普敦,2.40,3.17,3.20,欧/析,,17-18
4,03-10 23:00,30,西布朗,1-4, 莱切城,2.88,3.20,2.59,欧/析,,17-18
5,03-10 23:00,30,哈德斯,0-0, 斯旺西,2.94,3.11,2.61,欧/析,,17-18
6,03-11 01:30,30,切尔西,2-1, 水晶宫,1.35,4.99,9.54,欧/析,,17-18
7,03-11 21:30,30,阿森纳,3-0, 沃特福德,1.28,5.81,10.60,欧/析,,17-18
8,03-12 00:00,30,伯恩茅斯,1-4, 热刺,5.50,3.98,1.63,欧/析,,17-18
9,03-13 04:00,30,斯托克城,0-2, 曼城,10.60,5.75,1.29,欧/析,,17-18
0,03-17 04:00,31,热刺,	   		延期,	             , 纽卡斯尔,1.27,6.08,10.72,欧/析,17-18
1,03-17 20:30,31,伯恩利,	   		延期,	             , 切尔西,4.33,3.57,1.86,欧/析,17-18
2,03-17 23:00,31,莱切城,	   		延期,	             , 阿森纳,-,-,-,欧/析,17-18
3,03-17 23:00,31,斯托克城,1-2, 埃弗顿,2.30,3.31,3.30,欧/析,,17-18
4,03-17 23:00,31,伯恩茅斯,2-1, 西布朗,1.92,3.51,4.24,欧/析,,17-18
5,03-17 23:00,31,斯旺西,	   		延期,	             , 南安普敦,-,-,-,欧/析,17-18
6,03-17 23:00,31,哈德斯,0-2, 水晶宫,2.81,3.24,2.65,欧/析,,17-18
7,03-18 01:30,31,利物浦,5-0, 沃特福德,1.22,6.71,13.29,欧/析,,17-18
8,03-18 21:30,31,西汉姆,	   		延期,	             , 曼联,4.82,3.82,1.69,欧/析,17-18
9,03-19 00:00,31,曼城,	   		延期,	             , 布莱顿,-,-,-,欧/析,17-18
10,04-20 02:45,31,伯恩利,1-2, 切尔西,5.28,3.81,1.70,欧/析,,17-18
11,05-09 02:45,31,斯旺西,0-1, 南安普敦,2.91,3.27,2.54,欧/析,,17-18
12,05-10 02:45,31,莱切城,3-1, 阿森纳,2.91,3.45,2.44,欧/析,,17-18
13,05-10 03:00,31,热刺,1-0, 纽卡斯尔,1.24,6.15,12.82,欧/析,,17-18
14,05-10 03:00,31,曼城,3-1, 布莱顿,1.17,7.40,20.45,欧/析,,17-18
15,05-11 02:45,31,西汉姆,0-0, 曼联,5.06,3.79,1.72,欧/析,,17-18
0,03-31 19:30,32,水晶宫,1-2, 利物浦,7.03,4.46,1.47,欧/析,,17-18
1,03-31 22:00,32,西汉姆,3-0, 南安普敦,2.46,3.29,3.01,欧/析,,17-18
2,03-31 22:00,32,曼联,2-0, 斯旺西,1.26,5.98,12.00,欧/析,,17-18
3,03-31 22:00,32,纽卡斯尔,1-0, 哈德斯,2.02,3.37,4.03,欧/析,,17-18
4,03-31 22:00,32,沃特福德,2-2, 伯恩茅斯,2.35,3.37,3.12,欧/析,,17-18
5,03-31 22:00,32,布莱顿,0-2, 莱切城,2.55,3.27,2.91,欧/析,,17-18
6,03-31 22:00,32,西布朗,1-2, 伯恩利,2.50,3.11,3.11,欧/析,,17-18
7,04-01 00:30,32,埃弗顿,1-3, 曼城,8.65,6.20,1.31,欧/析,,17-18
8,04-01 20:30,32,阿森纳,3-0, 斯托克城,1.48,4.64,6.73,欧/析,,17-18
9,04-01 23:00,32,切尔西,1-3, 热刺,2.46,3.36,2.96,欧/析,,17-18
0,04-07 19:30,33,埃弗顿,0-0, 利物浦,7.17,4.75,1.45,欧/析,,17-18
1,04-07 22:00,33,斯托克城,1-2, 热刺,7.19,4.62,1.46,欧/析,,17-18
2,04-07 22:00,33,莱切城,1-2, 纽卡斯尔,1.85,3.59,4.52,欧/析,,17-18
3,04-07 22:00,33,布莱顿,1-1, 哈德斯,1.96,3.20,4.61,欧/析,,17-18
4,04-07 22:00,33,伯恩茅斯,2-2, 水晶宫,2.19,3.32,3.53,欧/析,,17-18
5,04-07 22:00,33,沃特福德,1-2, 伯恩利,2.26,3.27,3.43,欧/析,,17-18
6,04-07 22:00,33,西布朗,1-1, 斯旺西,2.62,3.15,2.93,欧/析,,17-18
7,04-08 00:30,33,曼城,2-3, 曼联,1.63,3.83,6.10,欧/析,,17-18
8,04-08 21:15,33,阿森纳,3-2, 南安普敦,1.55,4.22,6.30,欧/析,,17-18
9,04-08 23:30,33,切尔西,1-1, 西汉姆,1.36,4.92,9.86,欧/析,,17-18
0,04-14 19:30,34,南安普敦,2-3, 切尔西,3.98,3.29,2.06,欧/析,,17-18
1,04-14 22:00,34,水晶宫,3-2, 布莱顿,2.16,3.16,3.84,欧/析,,17-18
2,04-14 22:00,34,伯恩利,2-1, 莱切城,2.64,3.21,2.86,欧/析,,17-18
3,04-14 22:00,34,哈德斯,1-0, 沃特福德,2.92,3.21,2.59,欧/析,,17-18
4,04-14 22:00,34,斯旺西,1-1, 埃弗顿,2.44,3.30,3.04,欧/析,,17-18
5,04-15 00:30,34,利物浦,3-0, 伯恩茅斯,1.19,7.45,15.91,欧/析,,17-18
6,04-15 02:45,34,热刺,1-3, 曼城,3.16,3.35,2.35,欧/析,,17-18
7,04-15 20:30,34,纽卡斯尔,2-1, 阿森纳,4.09,3.50,1.95,欧/析,,17-18
8,04-15 23:00,34,曼联,0-1, 西布朗,1.18,6.64,24.85,欧/析,,17-18
9,04-17 03:00,34,西汉姆,1-1, 斯托克城,2.11,3.34,3.71,欧/析,,17-18
0,04-18 02:45,35,布莱顿,1-1, 热刺,7.73,4.29,1.48,欧/析,,17-18
1,04-19 02:45,35,伯恩茅斯,0-2, 曼联,6.20,4.30,1.55,欧/析,,17-18
2,04-20 02:45,35,莱切城,0-0, 南安普敦,2.06,3.25,4.03,欧/析,,17-18
3,04-21 03:00,35,布莱顿,	   		延期,	             , 热刺,-,-,-,欧/析,17-18
4,04-21 19:30,35,西布朗,2-2, 利物浦,8.01,5.27,1.38,欧/析,,17-18
5,04-21 22:00,35,切尔西,	   		延期,	             , 哈德斯,-,-,-,欧/析,17-18
6,04-21 22:00,35,莱切城,	   		延期,	             , 南安普敦,-,-,-,欧/析,17-18
7,04-21 22:00,35,沃特福德,0-0, 水晶宫,2.40,3.30,3.10,欧/析,,17-18
8,04-22 00:30,35,伯恩茅斯,	   		延期,	             , 曼联,-,-,-,欧/析,17-18
9,04-22 20:30,35,斯托克城,1-1, 伯恩利,2.44,3.12,3.21,欧/析,,17-18
10,04-22 20:30,35,阿森纳,4-1, 西汉姆,1.42,4.89,7.65,欧/析,,17-18
11,04-22 23:30,35,曼城,5-0, 斯旺西,1.18,7.20,16.47,欧/析,,17-18
12,04-24 03:00,35,埃弗顿,1-0, 纽卡斯尔,1.96,3.35,4.30,欧/析,,17-18
13,05-10 02:45,35,切尔西,1-1, 哈德斯,1.26,5.81,12.86,欧/析,,17-18
0,04-28 19:30,36,利物浦,0-0, 斯托克城,1.19,7.51,15.55,欧/析,,17-18
1,04-28 22:00,36,水晶宫,5-0, 莱切城,1.98,3.52,3.97,欧/析,,17-18
2,04-28 22:00,36,伯恩利,0-0, 布莱顿,2.28,3.05,3.65,欧/析,,17-18
3,04-28 22:00,36,南安普敦,2-1, 伯恩茅斯,2.30,3.39,3.21,欧/析,,17-18
4,04-28 22:00,36,纽卡斯尔,0-1, 西布朗,1.68,3.68,5.72,欧/析,,17-18
5,04-28 22:00,36,哈德斯,0-2, 埃弗顿,2.77,3.17,2.75,欧/析,,17-18
6,04-29 00:30,36,斯旺西,0-1, 切尔西,5.37,3.70,1.71,欧/析,,17-18
7,04-29 21:15,36,西汉姆,1-4, 曼城,7.72,4.92,1.41,欧/析,,17-18
8,04-29 23:30,36,曼联,2-1, 阿森纳,1.91,3.41,4.45,欧/析,,17-18
9,05-01 03:00,36,热刺,2-0, 沃特福德,1.21,7.75,11.74,欧/析,,17-18
0,05-05 03:00,37,布莱顿,1-0, 曼联,6.29,4.01,1.57,欧/析,,17-18
1,05-05 19:30,37,斯托克城,1-2, 水晶宫,2.72,3.31,2.70,欧/析,,17-18
2,05-05 22:00,37,伯恩茅斯,1-0, 斯旺西,2.10,3.32,3.78,欧/析,,17-18
3,05-05 22:00,37,西布朗,1-0, 热刺,7.79,4.95,1.41,欧/析,,17-18
4,05-05 22:00,37,沃特福德,2-1, 纽卡斯尔,2.41,3.27,3.11,欧/析,,17-18
5,05-05 22:00,37,莱切城,0-2, 西汉姆,-,-,-,欧/析,,17-18
6,05-06 00:30,37,埃弗顿,1-1, 南安普敦,2.18,3.35,3.52,欧/析,,17-18
7,05-06 20:30,37,曼城,0-0, 哈德斯,1.13,7.96,19.98,欧/析,,17-18
8,05-06 23:30,37,切尔西,1-0, 利物浦,2.23,3.43,2.98,欧/析,,17-18
9,05-06 23:30,37,阿森纳,5-0, 伯恩利,1.55,4.11,6.57,欧/析,,17-18
0,05-13 22:00,38,伯恩利,1-2, 伯恩茅斯,2.14,3.17,3.74,欧/析,,17-18
1,05-13 22:00,38,水晶宫,2-0, 西布朗,1.68,3.64,5.40,欧/析,,17-18
2,05-13 22:00,38,曼联,1-0, 沃特福德,1.17,7.27,17.02,欧/析,,17-18
3,05-13 22:00,38,南安普敦,0-1, 曼城,8.19,4.63,1.41,欧/析,,17-18
4,05-13 22:00,38,西汉姆,3-1, 埃弗顿,2.44,3.30,3.02,欧/析,,17-18
5,05-13 22:00,38,利物浦,4-0, 布莱顿,1.32,5.38,9.39,欧/析,,17-18
6,05-13 22:00,38,热刺,5-4, 莱切城,1.37,4.96,8.57,欧/析,,17-18
7,05-13 22:00,38,纽卡斯尔,3-0, 切尔西,4.24,3.44,1.90,欧/析,,17-18
8,05-13 22:00,38,哈德斯,0-1, 阿森纳,4.05,3.62,1.87,欧/析,,17-18
9,05-13 22:00,38,斯旺西,1-2, 斯托克城,2.14,3.16,3.76,欧/析,,17-18
0,08-13 19:30,1,赫尔城,2-1, 莱切城,3.06,3.30,2.23,欧/析,,16-17
1,08-13 22:00,1,南安普敦,1-1, 沃特福德,1.72,3.67,4.64,欧/析,,16-17
2,08-13 22:00,1,伯恩利,0-1, 斯旺西,2.46,3.23,2.76,欧/析,,16-17
3,08-13 22:00,1,水晶宫,0-1, 西布朗,2.10,3.29,3.40,欧/析,,16-17
4,08-13 22:00,1,埃弗顿,1-1, 热刺,2.81,3.31,2.41,欧/析,,16-17
5,08-13 22:00,1,米堡,1-1, 斯托克城,2.53,3.20,2.71,欧/析,,16-17
6,08-14 00:30,1,曼城,2-1, 桑德兰,1.24,5.62,10.97,欧/析,,16-17
7,08-14 20:30,1,伯恩茅斯,1-3, 曼联,4.10,3.54,1.81,欧/析,,16-17
8,08-14 23:00,1,阿森纳,3-4, 利物浦,2.00,3.39,3.54,欧/析,,16-17
9,08-16 03:00,1,切尔西,2-1, 西汉姆,1.57,3.88,5.42,欧/析,,16-17
0,08-20 03:00,2,曼联,2-0, 南安普敦,1.45,4.37,7.19,欧/析,,16-17
1,08-20 19:30,2,斯托克城,1-4, 曼城,4.79,3.64,1.73,欧/析,,16-17
2,08-20 22:00,2,西布朗,1-2, 埃弗顿,2.99,3.30,2.37,欧/析,,16-17
3,08-20 22:00,2,热刺,1-0, 水晶宫,1.60,3.91,5.66,欧/析,,16-17
4,08-20 22:00,2,沃特福德,1-2, 切尔西,4.64,3.55,1.77,欧/析,,16-17
5,08-20 22:00,2,斯旺西,0-2, 赫尔城,1.80,3.49,4.66,欧/析,,16-17
6,08-20 22:00,2,伯恩利,2-0, 利物浦,4.38,3.48,1.85,欧/析,,16-17
7,08-21 00:30,2,莱切城,0-0, 阿森纳,3.41,3.37,2.14,欧/析,,16-17
8,08-21 20:30,2,桑德兰,1-2, 米堡,2.32,3.30,3.07,欧/析,,16-17
9,08-21 23:00,2,西汉姆,1-0, 伯恩茅斯,1.82,3.47,4.49,欧/析,,16-17
0,08-27 19:30,3,热刺,1-1, 利物浦,2.36,3.35,2.98,欧/析,,16-17
1,08-27 22:00,3,南安普敦,1-1, 桑德兰,1.79,3.55,4.62,欧/析,,16-17
2,08-27 22:00,3,水晶宫,1-1, 伯恩茅斯,2.19,3.32,3.33,欧/析,,16-17
3,08-27 22:00,3,莱切城,2-1, 斯旺西,1.85,3.50,4.32,欧/析,,16-17
4,08-27 22:00,3,沃特福德,1-3, 阿森纳,4.63,3.64,1.77,欧/析,,16-17
5,08-27 22:00,3,埃弗顿,1-0, 斯托克城,1.93,3.46,4.00,欧/析,,16-17
6,08-27 22:00,3,切尔西,3-0, 伯恩利,1.27,5.39,12.29,欧/析,,16-17
7,08-28 00:30,3,赫尔城,0-1, 曼联,6.87,3.93,1.52,欧/析,,16-17
8,08-28 20:30,3,西布朗,0-0, 米堡,2.29,3.23,3.21,欧/析,,16-17
9,08-28 23:00,3,曼城,3-1, 西汉姆,1.45,4.26,7.56,欧/析,,16-17
0,09-10 19:30,4,曼联,1-2, 曼城,2.38,3.30,2.94,欧/析,,16-17
1,09-10 22:00,4,米堡,1-2, 水晶宫,2.27,3.25,3.21,欧/析,,16-17
2,09-10 22:00,4,西汉姆,2-4, 沃特福德,1.76,3.58,4.64,欧/析,,16-17
3,09-10 22:00,4,阿森纳,2-1, 南安普敦,1.57,3.87,6.07,欧/析,,16-17
4,09-10 22:00,4,伯恩茅斯,1-0, 西布朗,2.24,3.26,3.26,欧/析,,16-17
5,09-10 22:00,4,伯恩利,1-1, 赫尔城,2.14,3.27,3.45,欧/析,,16-17
6,09-10 22:00,4,斯托克城,0-4, 热刺,3.67,3.42,2.04,欧/析,,16-17
7,09-11 00:30,4,利物浦,4-1, 莱切城,1.66,3.77,5.23,欧/析,,16-17
8,09-11 23:00,4,斯旺西,2-2, 切尔西,4.26,3.53,1.85,欧/析,,16-17
9,09-13 03:00,4,桑德兰,0-3, 埃弗顿,3.22,3.35,2.22,欧/析,,16-17
0,09-17 03:00,5,切尔西,1-2, 利物浦,2.12,3.33,3.48,欧/析,,16-17
1,09-17 22:00,5,西布朗,4-2, 西汉姆,2.59,3.31,2.68,欧/析,,16-17
2,09-17 22:00,5,赫尔城,1-4, 阿森纳,5.00,3.86,1.66,欧/析,,16-17
3,09-17 22:00,5,曼城,4-0, 伯恩茅斯,1.20,6.24,13.66,欧/析,,16-17
4,09-17 22:00,5,莱切城,3-0, 伯恩利,1.61,3.95,5.39,欧/析,,16-17
5,09-18 00:30,5,埃弗顿,3-1, 米堡,1.72,3.63,4.82,欧/析,,16-17
6,09-18 19:00,5,沃特福德,3-1, 曼联,5.99,3.87,1.58,欧/析,,16-17
7,09-18 21:15,5,水晶宫,4-1, 斯托克城,2.40,3.25,2.96,欧/析,,16-17
8,09-18 21:15,5,南安普敦,1-0, 斯旺西,1.74,3.58,4.82,欧/析,,16-17
9,09-18 23:30,5,热刺,1-0, 桑德兰,1.36,4.84,8.73,欧/析,,16-17
0,09-24 19:30,6,曼联,4-1, 莱切城,1.48,4.07,6.89,欧/析,,16-17
1,09-24 22:00,6,伯恩茅斯,1-0, 埃弗顿,2.96,3.31,2.35,欧/析,,16-17
2,09-24 22:00,6,桑德兰,2-3, 水晶宫,2.31,3.24,3.10,欧/析,,16-17
3,09-24 22:00,6,斯托克城,1-1, 西布朗,2.07,3.27,3.63,欧/析,,16-17
4,09-24 22:00,6,米堡,1-2, 热刺,4.15,3.49,1.86,欧/析,,16-17
5,09-24 22:00,6,斯旺西,1-3, 曼城,6.04,3.92,1.56,欧/析,,16-17
6,09-24 22:00,6,利物浦,5-1, 赫尔城,1.33,4.77,10.00,欧/析,,16-17
7,09-25 00:00,6,西汉姆,0-3, 南安普敦,2.27,3.24,3.18,欧/析,,16-17
8,09-25 00:30,6,阿森纳,3-0, 切尔西,2.39,3.35,2.87,欧/析,,16-17
9,09-27 03:00,6,伯恩利,2-0, 沃特福德,2.41,3.27,2.89,欧/析,,16-17
0,10-01 03:00,7,埃弗顿,1-1, 水晶宫,1.75,3.59,4.77,欧/析,,16-17
1,10-01 19:30,7,斯旺西,1-2, 利物浦,4.92,3.61,1.73,欧/析,,16-17
2,10-01 22:00,7,西汉姆,1-1, 米堡,2.09,3.29,3.58,欧/析,,16-17
3,10-01 22:00,7,桑德兰,1-1, 西布朗,2.34,3.22,3.08,欧/析,,16-17
4,10-01 22:00,7,赫尔城,0-2, 切尔西,6.53,4.04,1.52,欧/析,,16-17
5,10-01 22:00,7,沃特福德,2-2, 伯恩茅斯,2.35,3.27,3.01,欧/析,,16-17
6,10-02 19:00,7,曼联,1-1, 斯托克城,1.35,4.69,9.56,欧/析,,16-17
7,10-02 21:15,7,热刺,2-0, 曼城,3.26,3.38,2.19,欧/析,,16-17
8,10-02 21:15,7,莱切城,0-0, 南安普敦,1.96,3.40,3.87,欧/析,,16-17
9,10-02 23:30,7,伯恩利,0-1, 阿森纳,5.96,4.04,1.55,欧/析,,16-17
0,10-15 19:30,8,切尔西,3-0, 莱切城,1.62,3.78,5.51,欧/析,,16-17
1,10-15 22:00,8,西布朗,1-1, 热刺,4.52,3.57,1.78,欧/析,,16-17
2,10-15 22:00,8,伯恩茅斯,6-1, 赫尔城,1.86,3.43,4.34,欧/析,,16-17
3,10-15 22:00,8,阿森纳,3-2, 斯旺西,1.34,4.91,8.99,欧/析,,16-17
4,10-15 22:00,8,曼城,1-1, 埃弗顿,1.45,4.27,7.28,欧/析,,16-17
5,10-15 22:00,8,斯托克城,2-0, 桑德兰,1.90,3.41,4.19,欧/析,,16-17
6,10-16 00:30,8,水晶宫,0-1, 西汉姆,2.14,3.34,3.41,欧/析,,16-17
7,10-16 20:30,8,米堡,0-1, 沃特福德,2.28,3.28,3.13,欧/析,,16-17
8,10-16 23:00,8,南安普敦,3-1, 伯恩利,1.49,4.04,6.93,欧/析,,16-17
9,10-18 03:00,8,利物浦,0-0, 曼联,2.25,3.34,3.18,欧/析,,16-17
0,10-22 19:30,9,伯恩茅斯,0-0, 热刺,4.08,3.47,1.92,欧/析,,16-17
1,10-22 22:00,9,西汉姆,1-0, 桑德兰,1.84,3.47,4.40,欧/析,,16-17
2,10-22 22:00,9,伯恩利,2-1, 埃弗顿,4.04,3.43,1.95,欧/析,,16-17
3,10-22 22:00,9,斯旺西,0-0, 沃特福德,2.26,3.30,3.18,欧/析,,16-17
4,10-22 22:00,9,阿森纳,0-0, 米堡,1.33,4.97,9.44,欧/析,,16-17
5,10-22 22:00,9,莱切城,3-1, 水晶宫,1.83,3.48,4.45,欧/析,,16-17
6,10-22 22:00,9,赫尔城,0-2, 斯托克城,2.56,3.24,2.77,欧/析,,16-17
7,10-23 00:30,9,利物浦,2-1, 西布朗,1.32,4.96,9.66,欧/析,,16-17
8,10-23 20:30,9,曼城,1-1, 南安普敦,1.40,4.61,8.03,欧/析,,16-17
9,10-23 23:00,9,切尔西,4-0, 曼联,2.31,3.33,3.06,欧/析,,16-17
0,10-29 19:30,10,桑德兰,1-4, 阿森纳,6.45,4.31,1.48,欧/析,,16-17
1,10-29 22:00,10,西布朗,0-4, 曼城,6.37,4.15,1.50,欧/析,,16-17
2,10-29 22:00,10,米堡,2-0, 伯恩茅斯,2.31,3.25,3.10,欧/析,,16-17
3,10-29 22:00,10,沃特福德,1-0, 赫尔城,1.90,3.44,4.06,欧/析,,16-17
4,10-29 22:00,10,热刺,1-1, 莱切城,1.59,3.85,5.71,欧/析,,16-17
5,10-29 22:00,10,曼联,0-0, 伯恩利,1.19,6.69,13.10,欧/析,,16-17
6,10-30 00:30,10,水晶宫,2-4, 利物浦,4.58,3.54,1.78,欧/析,,16-17
7,10-30 21:30,10,埃弗顿,2-0, 西汉姆,1.72,3.55,5.06,欧/析,,16-17
8,10-31 00:00,10,南安普敦,0-2, 切尔西,3.79,3.42,1.98,欧/析,,16-17
9,11-01 04:00,10,斯托克城,3-1, 斯旺西,1.90,3.50,4.14,欧/析,,16-17
0,11-05 23:00,11,西汉姆,1-1, 斯托克城,2.01,3.35,3.80,欧/析,,16-17
1,11-05 23:00,11,伯恩利,3-2, 水晶宫,2.89,3.29,2.42,欧/析,,16-17
2,11-05 23:00,11,伯恩茅斯,1-2, 桑德兰,1.78,3.59,4.48,欧/析,,16-17
3,11-05 23:00,11,曼城,1-1, 米堡,1.24,6.07,10.98,欧/析,,16-17
4,11-06 01:30,11,切尔西,5-0, 埃弗顿,1.68,3.72,5.07,欧/析,,16-17
5,11-06 20:00,11,阿森纳,1-1, 热刺,2.10,3.29,3.52,欧/析,,16-17
6,11-06 22:15,11,利物浦,6-1, 沃特福德,1.32,5.26,9.08,欧/析,,16-17
7,11-06 22:15,11,赫尔城,2-1, 南安普敦,4.44,3.51,1.84,欧/析,,16-17
8,11-06 23:00,11,斯旺西,1-3, 曼联,6.30,4.04,1.54,欧/析,,16-17
9,11-07 00:30,11,莱切城,1-2, 西布朗,1.71,3.65,4.97,欧/析,,16-17
0,11-19 20:30,12,曼联,1-1, 阿森纳,2.33,3.28,3.10,欧/析,,16-17
1,11-19 23:00,12,桑德兰,3-0, 赫尔城,2.11,3.28,3.61,欧/析,,16-17
2,11-19 23:00,12,南安普敦,0-0, 利物浦,3.45,3.37,2.12,欧/析,,16-17
3,11-19 23:00,12,水晶宫,1-2, 曼城,5.34,3.91,1.63,欧/析,,16-17
4,11-19 23:00,12,斯托克城,0-1, 伯恩茅斯,2.24,3.27,3.28,欧/析,,16-17
5,11-19 23:00,12,埃弗顿,1-1, 斯旺西,1.58,3.89,6.07,欧/析,,16-17
6,11-19 23:00,12,沃特福德,2-1, 莱切城,2.61,3.26,2.72,欧/析,,16-17
7,11-20 01:30,12,热刺,3-2, 西汉姆,-,-,-,欧/析,,16-17
8,11-21 00:00,12,米堡,0-1, 切尔西,5.28,3.69,1.67,欧/析,,16-17
9,11-22 04:00,12,西布朗,4-0, 伯恩利,1.93,3.37,4.13,欧/析,,16-17
0,11-26 20:30,13,伯恩利,1-2, 曼城,8.26,4.80,1.36,欧/析,,16-17
1,11-26 23:00,13,利物浦,2-0, 桑德兰,1.18,6.86,15.63,欧/析,,16-17
2,11-26 23:00,13,赫尔城,1-1, 西布朗,2.63,3.23,2.70,欧/析,,16-17
3,11-26 23:00,13,莱切城,2-2, 米堡,1.72,3.65,4.91,欧/析,,16-17
4,11-26 23:00,13,斯旺西,5-4, 水晶宫,2.51,3.25,2.82,欧/析,,16-17
5,11-27 01:30,13,切尔西,2-1, 热刺,1.95,3.44,3.84,欧/析,,16-17
6,11-27 20:00,13,沃特福德,0-1, 斯托克城,2.30,3.30,3.11,欧/析,,16-17
7,11-27 22:15,13,阿森纳,3-1, 伯恩茅斯,1.34,4.92,9.50,欧/析,,16-17
8,11-28 00:30,13,曼联,1-1, 西汉姆,1.49,4.22,6.27,欧/析,,16-17
9,11-28 00:30,13,南安普敦,1-0, 埃弗顿,2.21,3.30,3.25,欧/析,,16-17
0,12-03 20:30,14,曼城,1-3, 切尔西,2.02,3.36,3.68,欧/析,,16-17
1,12-03 23:00,14,桑德兰,2-1, 莱切城,3.56,3.31,2.09,欧/析,,16-17
2,12-03 23:00,14,斯托克城,2-0, 伯恩利,1.75,3.49,4.89,欧/析,,16-17
3,12-03 23:00,14,水晶宫,3-0, 南安普敦,2.90,3.26,2.43,欧/析,,16-17
4,12-03 23:00,14,西布朗,3-1, 沃特福德,2.22,3.25,3.27,欧/析,,16-17
5,12-03 23:00,14,热刺,5-0, 斯旺西,1.28,5.41,10.91,欧/析,,16-17
